1:nfix,Building number,Climate,Building use,Roof height factor,Ventilation,Shading setpoint,Lighting density,W2WR,U-value walls,U-value roof,U-value floors,U-value windows,Carbon intensity of construction,Cooling setpoint,Cooling setback,Heating setpoint,Heating setback,Lighting setpoint,Occupant density,Equipment gains,g-value,Infiltration
1,2952,10,2,0.025474335,0.000295262,297.3757902,1.795946608,0.83779292,0.344120531,0.344120531,0.344120531,1.188462989,45,28.39205287,4,20.46198105,4,400,36.2235962,2.106255764,0.555555556,5.01E-05
2,2439,9,2,0.339964165,0.000229217,37.53172934,2.245942857,0.595284745,0.828833859,0.828833859,0.828833859,2.417689931,45,27.56191208,4,20.9058902,4,400,32.95882568,1.683753558,0.555555556,9.35E-05
3,11472,1,2,0.124462214,0.000141981,195.0650609,2.869185632,0.485668882,0.053772763,0.053772763,0.053772763,1.100675381,45,26.14949002,4,18.9139431,4,400,37.70596524,2.551350954,0.555555556,4.70E-05
4,3076,17,2,0.281148691,0.000273287,109.4609895,1.642112306,0.332989971,0.556043776,0.556043776,0.556043776,1.875587471,45,26.3501288,4,20.30867891,4,400,34.99221603,1.816404855,0.555555556,6.93E-05
5,1080,11,2,0.059150695,0.000195523,267.0053253,2.335759569,0.64876473,1.043077896,1.043077896,1.043077896,1.434067081,45,27.75129032,4,19.82082621,4,400,41.39294487,2.415444921,0.555555556,5.74E-05
6,1773,13,2,0.368781719,0.000168756,168.0969346,2.645101895,0.793561246,0.270259758,0.270259758,0.270259758,2.224857584,45,27.2732921,4,18.49757846,4,400,30.48484182,2.29083487,0.555555556,8.11E-05
7,9771,24,2,0.190926631,0.000242242,325.5538183,2.001259475,0.277793065,0.754134211,0.754134211,0.754134211,0.910480132,45,25.84015473,4,21.22480024,4,400,36.9112085,1.966975834,0.555555556,3.79E-05
8,8549,25,2,0.252470225,0.000232545,338.3401811,1.892472147,0.869226673,0.216940897,0.216940897,0.216940897,1.620112695,45,26.88065726,4,19.14266994,4,400,32.2209023,2.135767778,0.555555556,6.24E-05
9,4764,1,2,0.086919449,0.000155955,175.8165962,2.742765524,0.160001174,0.663720255,0.663720255,0.663720255,2.062100438,45,28.85050434,4,20.68454008,4,400,36.97629523,2.252831907,0.555555556,7.50E-05
10,1301,24,2,0.39764968,0.000209577,239.1005984,2.401380161,0.404212038,0.501602143,0.501602143,0.501602143,0.832901568,45,27.4263624,4,20.62727225,4,400,33.75487617,3.054507822,0.555555556,3.16E-05
11,10285,18,2,0.162955984,0.000281735,76.62540287,1.589171804,0.513443542,0.95378726,0.95378726,0.95378726,2.148627567,45,26.08828281,4,19.49865571,4,400,40.96076345,1.73597619,0.555555556,7.80E-05
12,8747,22,2,0.231263356,0.00017293,228.5165149,2.99330815,0.667703101,0.882204797,0.882204797,0.882204797,1.375416566,45,26.66874051,4,21.61307869,4,400,33.10901783,2.443852664,0.555555556,5.57E-05
13,742,15,2,0.003457094,0.00025577,66.06937766,2.110696735,0.352325233,0.144169703,0.144169703,0.144169703,1.814820825,45,28.05742374,4,17.15761826,4,400,39.55067226,1.935292756,0.555555556,6.76E-05
14,5922,19,2,0.318605914,0.00026996,289.0427098,1.722406644,0.208840782,1.168269577,1.168269577,1.168269577,1.024004754,45,27.07176252,4,19.9643103,4,400,28.8144363,2.042273317,0.555555556,4.38E-05
15,4920,2,2,0.146656743,0.000181552,126.4886275,2.549355225,0.724224661,0.43339415,0.43339415,0.43339415,2.340551951,45,24.76621592,4,20.14367178,4,400,35.06744249,2.325367356,0.555555556,8.72E-05
16,8925,10,2,0.358557253,0.000189252,84.778561,1.638143431,0.459978452,0.243183315,0.243183315,0.243183315,0.966563988,45,26.31258661,4,19.41017809,4,400,38.9939517,2.506995534,0.555555556,4.11E-05
17,9759,24,2,0.180165768,0.000262094,242.3122144,2.258458218,0.56920357,0.655148222,0.655148222,0.655148222,2.27505015,45,27.61302328,4,20.55398909,4,400,33.45129783,1.9086649,0.555555556,8.35E-05
18,3132,4,2,0.291505852,0.00025347,182.7806661,2.699642387,0.813469653,0.52924837,0.52924837,0.52924837,1.493576449,45,28.3037122,4,20.79106952,4,400,35.37772109,2.034033696,0.555555556,5.90E-05
19,7861,10,2,0.069751183,0.000175063,340.2457884,2.029522712,0.10423776,0.944372942,0.944372942,0.944372942,1.929192132,45,26.71659855,4,19.27378349,4,400,27.44234555,2.355652508,0.555555556,7.08E-05
20,4385,25,2,0.32644381,0.000289025,114.60253,2.506059622,0.252299461,0.873913598,0.873913598,0.873913598,1.157473781,45,25.57928657,4,20.07190209,4,400,37.33451702,2.140334165,0.555555556,4.90E-05
21,2637,3,2,0.110698437,0.000202433,272.0591301,1.859286353,0.767676946,0.170692956,0.170692956,0.170692956,2.466741125,45,27.23680757,4,19.89770893,4,400,31.80196993,2.217119208,0.555555556,0.000100883
22,4535,21,2,0.223479304,0.000153244,52.83824712,2.159862286,0.624247713,1.15857457,1.15857457,1.15857457,1.248700187,45,27.8091812,4,18.20783893,4,400,40.13797515,2.635994166,0.555555556,5.20E-05
23,8699,13,2,0.039370736,0.000235402,210.3828713,2.850581382,0.30886346,0.460759688,0.460759688,0.460759688,1.681665798,45,26.49322934,4,22.11791249,4,400,34.07869195,1.775468059,0.555555556,6.40E-05
24,10464,16,2,0.304048628,0.000249454,203.2181695,2.912311072,0.537766761,1.069284,1.069284,1.069284,2.284540661,45,25.89076867,4,19.02670067,4,400,42.93447936,1.879829269,0.555555556,8.40E-05
25,6837,19,2,0.132245135,0.00016169,40.74326247,2.108890079,0.428144704,0.406318119,0.406318119,0.406318119,0.973951576,45,27.3826791,4,21.01912744,4,400,34.67973844,2.388852171,0.555555556,4.15E-05
26,8457,25,2,0.246075616,0.000192734,304.3397522,1.746974154,0.185691556,0.783499707,0.783499707,0.783499707,1.755399108,45,29.11876423,4,20.36304512,4,400,36.57080039,2.282651734,0.555555556,6.60E-05
27,6586,18,2,0.017635306,0.000276222,141.8158835,2.606057935,0.895307799,0.11737416,0.11737416,0.11737416,1.321939546,45,26.99707809,4,19.58190337,4,400,31.04063699,1.997503617,0.555555556,5.42E-05
28,10123,7,2,0.38594883,0.000149759,313.6678287,1.952091846,0.748741631,0.618521924,0.618521924,0.618521924,2.091941853,45,25.43848566,4,21.36703723,4,400,35.9027975,2.188645018,0.555555556,7.60E-05
29,11191,18,2,0.151889087,0.000221273,151.1134198,2.787830652,0.232967246,0.998866588,0.998866588,0.998866588,0.783949642,45,27.10999613,4,18.70044539,4,400,29.81920123,2.070365892,0.555555556,2.43E-05
30,10171,10,2,0.263937749,0.000293041,253.7742442,2.379055866,0.377818789,0.333580191,0.333580191,0.333580191,2.002017584,45,27.98896531,4,19.7225194,4,400,38.11569137,1.034721217,0.555555556,7.30E-05
31,10737,17,2,0.098241201,0.000215803,91.32742882,1.505231994,0.693587354,0.708519095,0.708519095,0.708519095,1.567723641,45,26.54014589,4,20.22468043,4,400,32.59434645,2.591304045,0.555555556,6.10E-05
32,6432,25,2,0.117693988,0.000178022,85.65752238,2.439126239,0.39133324,0.787347375,0.787347375,0.787347375,2.08630327,45,27.00420046,4,20.8686847,4,400,41.78581891,1.800494579,0.555555556,7.58E-05
33,8478,17,2,0.345938935,0.000250786,248.1910232,1.820184464,0.675564742,0.093042016,0.093042016,0.093042016,0.775704191,45,24.89205368,4,19.28123399,4,400,34.79056886,2.680148569,0.555555556,2.22E-05
34,8329,17,2,0.03237722,0.00026474,186.7844743,2.223122652,0.732080294,1.081195616,1.081195616,1.081195616,1.953633113,45,26.61858455,4,19.33443763,4,400,36.71207526,2.229530223,0.555555556,7.16E-05
35,6111,18,2,0.203985362,0.000186255,349.2497492,2.891868555,0.247854797,0.374465454,0.374465454,0.374465454,1.520190324,45,28.11160783,4,20.5164651,4,400,30.71089184,2.152375859,0.555555556,5.97E-05
36,3845,22,2,0.198074039,0.000237756,116.2235644,1.666441745,0.195986396,0.302891829,0.302891829,0.302891829,2.331204468,45,27.461287,4,18.43194751,4,400,36.09683843,2.341053059,0.555555556,8.66E-05
37,7800,4,2,0.363965855,0.000151242,278.6803171,2.311659054,0.886370277,0.723772014,0.723772014,0.723772014,1.023202225,45,26.01293853,4,22.17372934,4,400,29.49076423,2.02081085,0.555555556,4.38E-05
